,text,date
63,"CARREGOU AÍ? 🔥🔥  Formiga, a eterna camisa 8 da @SelecaoFeminina, participou da cerimônia do Fifa The Best na última segunda-feira (15), e aproveitou pra tietar algumas lendas do futebol brasileiro e mundial.  📸 Reprodução/Redes Sociais/Formiga","Jan 18, 2024 · 1:55 AM UTC"
64,"Fun fact: As long as Argentina is the world cup holder, Messi continues to win ballon D'or and FIFA the best for the 202 world cup. Ronaldo fans should keep crying 😭😂","Jan 17, 2024 · 8:03 PM UTC"
65,Fifa The Best ödülü bu adama gitmeli .d,"Jan 18, 2024 · 7:05 PM UTC"
66,"Messi, novamente! MERECIDO!  Aliás, enquanto Messi estiver no activo será o maior candidato a vencer o FIFA The BEST e o Balon...  O choro é livre","Jan 17, 2024 · 7:39 AM UTC"
67,"❗️ Ruud Gullit was shocked when someone said Messi deserves the FIFA The Best 2023 award.    “You chose Messi out of sympathy, what more can Haaland do?”","Jan 16, 2024 · 7:53 PM UTC"
68,"Siempre he dicho que valoro muchísimo más el #FIFATheBest que el Ballon D'Or.  Apreciación muy personal, pero sustentada en que el premio de @FIFAcom el voto es más universal, y de los protagonistas, del máximo nivel además, que son DTs y Capitanes de TODAS las selecciones.  🧵","Jan 16, 2024 · 4:04 AM UTC"
69,Po obejrzeniu 25 minut meczu Barcelony zrozumiałem dlaczego Mbappe głosował na Xaviego w plebiscycie FIFA THE BEST. 😅,"Jan 18, 2024 · 6:56 PM UTC"
70,Lionel Messi had more votes from National Team Captains than from the media and that’s what made him win the FIFA The Best over Erling Haaland.  “MeSsI iS pRoTeCtEd By ThE mEdIa”  😂😂😂😂,"Jan 17, 2024 · 5:14 PM UTC"
71,Neymar says he did not vote for anyone in the FIFA the best awards.  Messi’s career is full of controversies.,"Jan 16, 2024 · 5:54 PM UTC"
72,"🇳🇬 John Obi Mikel sobre la elección en los premios FIFA The Best en @skysports:  ""Sí, Messi hizo más que Haaland en este período. La única objeción era que no había ganado el Mundial con Argentina.  Haaland es un gran jugador, juega en el Manchester City. No ha jugado en 9 o 10 partidos. ¿Qué pasó? Han perdido 1. Crean ocasiones, marcan goles, saben cómo ganar partidos sin Haaland"".","Jan 16, 2024 · 7:30 PM UTC"
73,Hinchas de Real Madrid insultaron a Federico Valverde y Luka Modric en redes sociales por votar a Messi en la elección del FIFA The Best.  ¿Opiniones?,"Jan 16, 2024 · 8:24 PM UTC"
74,Lmao in one of the pictures Ronaldo was winning Fifa the Best 🤣🤣🤣🤣🤣🤣,"Jan 18, 2024 · 6:40 PM UTC"
75,"8 BALLON DORS. 6 GOLDEN BOOTS. 6 FIFA THE BEST AWARDS. 4 UCL TROPHIES. 46 CAREER TROPHIES. + 80 INDIVIDUAL AWARDS +350 ASSISTS. + 800 GOALS. THE WORLD CHAMPION.  WHETHER YOU LIKE IT OR NOT, LEO MESSI IS  UNDISPUTED GREATEST FOOTBALLER OF ALL TIMES.🐐","Oct 30, 2023 · 9:40 PM UTC"
76,🇦🇷 Lionel Messi in 2023:  👕 45 games ⚽️ 29 goals 🎯 12 assists 🤝 41 goal contributions  👑 Most assists Ligue 1 🥅 5 free kick goals 🏆 Ligue 1 🏆 Leagues Cup 🌟 Ballon d’Or 🌟 FIFA The Best 🌟 Laureus Sportsman of the Year 🏅 Most decorated player of all time,"Jan 18, 2024 · 6:37 PM UTC"
77,Why don't you ask Modric and Valverde who Helped him to win FIFA the best?,"Jan 16, 2024 · 7:02 PM UTC"
78,"Lionel Messi desde que completou 30 anos:  👕 348 jogos (400 G/A) ⚽️ 259 gols 🅰️ 141 assistências 🏆 13 títulos  🥇🥇🥇 Bola de Ouro 🥇🥇 Chuteira de Ouro 🥇🥇🥇 FIFA The Best 🥇🥇 Laureus 🏆 Copa do Mundo  Pela Argentina: 64 jogos, 50 gols, 21 assistências, 3 finais, 3 títulos.","Jan 16, 2024 · 4:57 PM UTC"
79,🚨  Neymar on Instagram says he did not vote for anyone in the FIFA the best awards and yet FIFA says he voted. 🤔  This is very very strange.,"Jan 16, 2024 · 5:33 PM UTC"
80,🚨 ترتيب أفضل حراس العالم لجائزة FIFA The Best لعام 2023 :  • إيديرسون • كورتوا • ياسين بونو,"Jan 15, 2024 · 8:20 PM UTC"
81,"🚨Ultima hora Messi gana Miss Universo 2024 👑 se coronó como rey de Miss Universo 2024, convirtiéndose en el segundo argentino en conseguir la corona después de Norma Beatriz Nolan  #TheBestFIFA #Messi #FIFATheBest #Sinverguenzas #futbol #corrupción #InterMiamiCF","Jan 16, 2024 · 11:47 PM UTC"
82,"👕 45 games ⚽️ 29 goals 🅰️ 12 assists 🅰️ Most assists Ligue 1 🎯 5 free kick goals 🏆 Ligue 1 🏆 Leagues Cup 🌟 Ballon d’Or 🌟 FIFA The Best 🌟 Laureus Sportsman of the Year 🏅 Most decorated player of all time  If that’s not enough, he took last placed team in MLS to win their first trophy🤫 Look at your idols giving Messi a standing ovation. 🤫🤫🤫 Pipe down “vtuber” 🤣🤣🤣 get back to your moms basement and resume crying","Jan 18, 2024 · 6:21 PM UTC"
83,"Salman cup is better than rigged World Cup, Ballon d'Or and FIFA The Best 😏","Jan 18, 2024 · 2:47 PM UTC"
84,🎥 Watch @rioferdy5 @joelbeya @mrstephenhowson rank players past and present at the FIFA THE BEST AWARDS! https://piped.kavin.rocks/v-wDX0EtHtc?si=gGEVx0-AbxUxH6-s,"Jan 18, 2024 · 6:15 PM UTC"
85,Messi winning the FIFA Best Men’s Award in 2040 for winning the World Cup in 2022.  #FIFATheBest #FIFABEST,"Jan 16, 2024 · 9:50 AM UTC"
86,according to messi fans winning 2 titles and having alot of succesfull dribbles can win you not only a ballon dor but also fifa the best 😱😱,"Jan 18, 2024 · 6:10 PM UTC"
87,Every thing he won is deserved...Fifa the best is based on pure voting....so use common sense and comment fraudnaldo fan,"Jan 18, 2024 · 6:08 PM UTC"
88,But has more fan vote in fifa the best... didn't haaland and Ronaldo fans vote?? Messi own the streets blud,"Jan 18, 2024 · 6:04 PM UTC"
89,Messi fans vs Haaland fans vs Ronaldo fans during this Fifa the best award,"Jan 17, 2024 · 12:54 AM UTC"
90,"Hold up, this clown will win FIFA The Best 2023 for his World Cup in 2022 after winning FIFA The Best 2022 for his World Cup in 2022????  We are seeing levels of corruption that will never ever be matched ever again.","Sep 8, 2023 · 1:15 PM UTC"
91,"I'm just wasting my time arguing with you bruhhbh 🤣🤣...  Chat me when Ronaldo has won a world Cup, 8 Ballon do'rs, 8 Fifa the Best. Thank you","Jan 18, 2024 · 5:54 PM UTC"
92,"8 Ballon d'Ors. 8 FIFA The Best.  Perfection, the greatest footballer of all time. 🐐🇦🇷","Jan 15, 2024 · 8:56 PM UTC"
93,Don't forget that Messi fans never hyped FIFA the best.... It was always Penaldo fans and now they are crying 😂,"Jan 18, 2024 · 5:43 PM UTC"
94,Fifa The Best : Le prix Marta récompensera désormais le plus beau but de l’année chez les femmes. ⚽️  ➡️ https://www.sportfem.fr/fifa-the-best-le-prix-marta-recompensera-desormais-le-plus-beau-but-de-lannee-chez-les-femmes/ •,"Jan 18, 2024 · 5:34 PM UTC"
95,"FIFA the best is based over calendar year not season, so it was the 2023 year meaning the WC didn’t count, idc for Ronaldo but you also have to be a little unbiased some times","Jan 18, 2024 · 5:34 PM UTC"
96,"#Sports360 - Internacional  Lionel Messi ganó su tercer #FIFATheBest luego de superar a Erling Haaland y Kylian Mbappé.  Aitana Bonmati se quedó con su primer premio luego de ganar Champions, Mundial y Balón de Oro. Pep Guardiola y Sarina Wiegman fueron los mejores DT.","Jan 16, 2024 · 2:10 PM UTC"
97,🇦🇷Lionel Messi in 2023:  👕45 games ⚽️29 goals 🎯12 assists 🤝41 goal contributions  👑Most assists Ligue 1 🥅5 free kick goals 🏆Ligue 1 🏆Leagues Cup 🌟 Ballon d’Or 🌟 FIFA The Best 🌟Laureus Sportsman of the Year🏅Most decorated player of all time Legend of the Beautiful Game!,"Jan 18, 2024 · 5:30 PM UTC"
